epoch,Acc,loss,lr,val_Acc,val_loss
0,0.13885000348091125,3.2456042766571045,0.01,0.10899999737739563,2.295875310897827
1,0.17707499861717224,2.213501214981079,0.01,0.10329999774694443,2.3185770511627197
2,0.23649999499320984,2.0946969985961914,0.01,0.09749999642372131,2.3657307624816895
3,0.2669749855995178,1.9982472658157349,0.01,0.10270000249147415,2.383000135421753
4,0.2937749922275543,1.914837121963501,0.01,0.10599999874830246,2.4235739707946777
5,0.3203999996185303,1.8287476301193237,0.01,0.13670000433921814,2.463690757751465
6,0.3718000054359436,1.7034248113632202,0.01,0.13179999589920044,2.649895429611206
7,0.40700000524520874,1.604016900062561,0.01,0.11649999767541885,2.745527744293213
8,0.4444499909877777,1.5123682022094727,0.01,0.11789999902248383,2.792633295059204
9,0.4816499948501587,1.4218083620071411,0.01,0.1527000069618225,3.1761484146118164
10,0.519599974155426,1.3353787660598755,0.01,0.14090000092983246,3.2529678344726562
11,0.5496000051498413,1.251906156539917,0.01,0.16410000622272491,3.047590732574463
12,0.5784500241279602,1.176870346069336,0.01,0.13770000636577606,3.1700642108917236
13,0.6067000031471252,1.099629521369934,0.01,0.2134000062942505,2.8426856994628906
14,0.6333000063896179,1.0209887027740479,0.01,0.44119998812675476,1.5278652906417847
15,0.6599000096321106,0.9587140679359436,0.01,0.1777999997138977,3.411987066268921
16,0.6762499809265137,0.9114035964012146,0.01,0.36410000920295715,1.9276952743530273
17,0.6977999806404114,0.8559907078742981,0.01,0.43709999322891235,1.5802680253982544
18,0.7148249745368958,0.808353066444397,0.01,0.3237999975681305,2.3709521293640137
19,0.7281500101089478,0.7762256264686584,0.01,0.3808000087738037,2.259709358215332
20,0.7412999868392944,0.7434415817260742,0.01,0.41339999437332153,2.000838279724121
21,0.7500249743461609,0.7190191149711609,0.01,0.3625999987125397,2.188246011734009
22,0.7607250213623047,0.6855514049530029,0.01,0.5544000267982483,1.399949550628662
23,0.7694000005722046,0.6622143387794495,0.01,0.4796000123023987,1.708255648612976
24,0.7771999835968018,0.6487427353858948,0.01,0.588699996471405,1.231275200843811
25,0.7821499705314636,0.629907488822937,0.01,0.5393999814987183,1.4437888860702515
26,0.7870000004768372,0.6142944097518921,0.01,0.6175000071525574,1.1773139238357544
27,0.7925999760627747,0.5976520776748657,0.01,0.5091000199317932,1.8558646440505981
28,0.7997499704360962,0.5810571908950806,0.01,0.70169997215271,0.8554800748825073
29,0.8059250116348267,0.5661856532096863,0.01,0.5722000002861023,1.456797480583191
30,0.8071749806404114,0.5606464743614197,0.01,0.4700999855995178,2.0042667388916016
31,0.812250018119812,0.5416150093078613,0.01,0.6845999956130981,0.9084106683731079
32,0.8174499869346619,0.5288375616073608,0.01,0.6765000224113464,0.9510672688484192
33,0.8180999755859375,0.5221920609474182,0.01,0.5030999779701233,1.7132675647735596
34,0.8232750296592712,0.5105859041213989,0.01,0.48840001225471497,2.1050634384155273
35,0.8249250054359436,0.5027288794517517,0.01,0.4650999903678894,1.928693175315857
36,0.8304250240325928,0.49189096689224243,0.01,0.5382999777793884,1.7881193161010742
37,0.829200029373169,0.49547216296195984,0.01,0.6035000085830688,1.369179368019104
38,0.8320500254631042,0.4846954941749573,0.01,0.626800000667572,1.1406080722808838
39,0.8346250057220459,0.4803953468799591,0.01,0.37959998846054077,3.0404908657073975
40,0.8367249965667725,0.4721345603466034,0.01,0.6164000034332275,1.2514979839324951
41,0.8414750099182129,0.46413490176200867,0.01,0.5378999710083008,1.9174199104309082
42,0.8404250144958496,0.46396446228027344,0.01,0.5863999724388123,1.457352876663208
43,0.8465250134468079,0.4479609429836273,0.01,0.5587999820709229,1.670251727104187
44,0.8432750105857849,0.4546959400177002,0.01,0.6227999925613403,1.271228551864624
45,0.8467000126838684,0.4441254734992981,0.01,0.6944000124931335,0.9773597717285156
46,0.8500249981880188,0.43988609313964844,0.01,0.5490999817848206,1.617267370223999
47,0.8472750186920166,0.4393939971923828,0.01,0.7214000225067139,0.8366358280181885
48,0.8482000231742859,0.4344325065612793,0.01,0.597000002861023,1.5498358011245728
49,0.8519250154495239,0.4311709403991699,0.01,0.47850000858306885,1.9486677646636963
50,0.8514500260353088,0.42952120304107666,0.01,0.585099995136261,1.3793138265609741
51,0.8557249903678894,0.420749694108963,0.01,0.4345000088214874,2.468921422958374
52,0.8572750091552734,0.4182276427745819,0.01,0.4771000146865845,2.0033202171325684
53,0.8550750017166138,0.41799843311309814,0.01,0.5223000049591064,1.991695761680603
54,0.8585000038146973,0.4114170968532562,0.01,0.5023999810218811,1.7925812005996704
55,0.8555499911308289,0.41612979769706726,0.01,0.6251000165939331,1.220901608467102
56,0.8575000166893005,0.4138440489768982,0.01,0.6416000127792358,1.2137467861175537
57,0.8569999933242798,0.41384732723236084,0.01,0.5458999872207642,1.5205798149108887
58,0.8633999824523926,0.40128234028816223,0.01,0.6714000105857849,1.0692490339279175
59,0.8571249842643738,0.40972891449928284,0.01,0.6901999711990356,0.9298111200332642
60,0.8601999878883362,0.40900757908821106,0.01,0.5091000199317932,2.1813344955444336
61,0.8630250096321106,0.4001384675502777,0.01,0.7245000004768372,0.8156219124794006
62,0.860450029373169,0.4011922776699066,0.01,0.6407999992370605,1.1663310527801514
63,0.86080002784729,0.3991298973560333,0.01,0.6894000172615051,0.9703020453453064
64,0.8642249703407288,0.39749598503112793,0.01,0.6539999842643738,1.1894785165786743
65,0.8604750037193298,0.4059659540653229,0.01,0.6868000030517578,1.0145394802093506
66,0.86285001039505,0.39676833152770996,0.01,0.5166000127792358,2.229861259460449
67,0.862725019454956,0.40060144662857056,0.01,0.6323999762535095,1.2868242263793945
68,0.8636000156402588,0.3967790901660919,0.01,0.6762999892234802,1.0742565393447876
69,0.8613250255584717,0.39564454555511475,0.01,0.7038999795913696,0.9380817413330078
70,0.8665500283241272,0.3910871744155884,0.01,0.5444999933242798,1.6305749416351318
71,0.8644999861717224,0.39452531933784485,0.01,0.5346999764442444,1.980204701423645
72,0.8662499785423279,0.39244529604911804,0.01,0.6047999858856201,1.2358999252319336
73,0.8648999929428101,0.390495628118515,0.01,0.5776000022888184,1.5099447965621948
74,0.8642500042915344,0.38974007964134216,0.01,0.6406999826431274,1.3050285577774048
75,0.8656499981880188,0.393240749835968,0.01,0.6923999786376953,0.9358771443367004
76,0.8686000108718872,0.38371267914772034,0.01,0.6570000052452087,1.1226941347122192
77,0.8671749830245972,0.38335108757019043,0.01,0.6625000238418579,1.1380152702331543
78,0.8655999898910522,0.3907903730869293,0.01,0.6836000084877014,1.0163819789886475
79,0.8660500049591064,0.38979506492614746,0.01,0.6783999800682068,1.0481386184692383
80,0.8695999979972839,0.38137584924697876,0.01,0.6456999778747559,1.318397045135498
81,0.8660749793052673,0.38749080896377563,0.01,0.6812000274658203,1.038474678993225
82,0.8678500056266785,0.3831614851951599,0.01,0.6643999814987183,1.122330904006958
83,0.8655999898910522,0.3890092372894287,0.01,0.6391000151634216,1.2203261852264404
84,0.8654999732971191,0.3875696361064911,0.01,0.675000011920929,1.090131402015686
